source,target,weight
高启强,安欣,42
角色,角色,39
张译,张颂文,38
高启强,人物,34
没有,没有,34
张译,演技,33
安欣,高启强,33
高启强,角色,32
张译,角色,31
安欣,安欣,29
安欣,没有,29
张译,口音,29
张颂文,张译,28
人物,人物,27
剧情,真的,26
安欣,人物,25
角色,没有,24
整顿,打算,24
高启强,高启强,23
张颂文,演技,23
张颂文,角色,23
时代,时代,23
扫黑,没有,22
张译,没有,21
剧情,没有,21
口型,对不上,21
扫黑,除恶,21
人物,安欣,21
人物,最后,21
人物,角色,21
高启强,真的,20
张颂文,没有,20
剧情,剧情,20
反派,角色,20
高启强,没有,20
没有,角色,20
政法,打算,20
高启强,张译,19
真的,真的,19
人物,没有,19
张译,张译,18
没有,演技,18
没有,真的,18
安欣,最后,18
高启强,最后,18
编剧,高启强,18
高启强,张颂文,17
张颂文,高启强,17
没有,张颂文,17
张颂文,表演,17
角色,工具,17
角色,最后,17
没有,人物,17
没有,台词,17
高启强,剧情,17
高启强,扫黑,16
扫黑,张颂文,16
张颂文,真的,16
警察,警察,16
张译,表演,16
角色,高启强,16
演技,角色,16
扫黑,扫黑,16
角色,塑造,16
安欣,角色,16
人物,塑造,16
人物,张译,16
很多,没有,16
没有,高启强,16
后面,剧情,16
没有,剧情,16
角色,觉得,16
角色,编剧,16
整顿,整顿,16
张译,高启强,15
安欣,张译,15
最后,几集,15
看到,没有,15
没有,很多,15
国产,没有,15
台词,张颂文,15
演员,演技,15
人物,剧情,15
剧情,人物,15
坏人,坏人,15
台词,真的,15
真的,剧情,15
整顿,政法,15
政法,整顿,15
扫黑,反派,14
张颂文,人物,14
角色,扫黑,14
扫黑,剧情,14
后面,角色,14
角色,主角,14
剧情,最后,14
台词,没有,14
演员,张颂文,14
角色,这部,14
没有,编剧,14
编剧,编剧,14
台词,现实,14
演员,角色,14
编剧,角色,14
这部,打算,14
演技,张颂文,13
张译,人物,13
安欣,李响,13
剧情,张颂文,13
安欣,警察,13
安欣,正义,13
演员,没有,13
角色,张译,13
角色,人物,13
最后,没有,13
很多,台词,13
李响,高启强,13
没有,安欣,13
人物,演员,13
安欣,剧情,13
没有,最后,13
角色,非常,13
时代,角色,13
整顿,这部,13
张颂文,张颂文,12
好看,高启强,12
剧情,演技,12
剧情,张译,12
演技,张译,12
张译,安欣,12
高启强,高启,12
角色,故事,12
角色,张颂文,12
高启强,表演,12
剧情,演员,12
演员,演员,12
狂飙,高启强,12
后面,真的,12
张译,警察,12
张译,台词,12
高启强,沦为,12
后面,反派,12
绝命,毒师,12
高启强,黑社会,12
人物,编剧,12
人物,观众,12
编剧,观众,12
观众,观众,12
这部,没有,12
高启强,台词,12
高启强,真正,12
安欣,这种,12
剧情,台词,12
非常,角色,12
非常,非常,12
有人,有人,12
最后,真的,12
高启强,觉得,12
没有,一会,12
一会,大佬,12
爽文,一点,12
水平,部分,12
时代,坏人,12
整顿,讨论,12
真的,张颂文,11
高启强,部分,11
剧情,高启强,11
不错,张颂文,11
安欣,张颂文,11
安欣,真的,11
人民,名义,11
高启强,编剧,11
张译,扫黑,11
演技,没有,11
最后,最后,11
没有,觉得,11
张颂文,反派,11
现实,现实,11
反派,安欣,11
反派,没有,11
角色,安欣,11
角色,反派,11
狂飙,扫黑,11
扫黑,细节,11
剧情,编剧,11
高启强,这种,11
很多,张颂文,11
扫黑,高启强,11
尤其,角色,11
角色,黑社会,11
删改,人物,11
人物,故事,11
口音,口音,11
人物,高启强,11
人物,正义,11
安欣,演技,11
高启强,只能,11
张颂文,最后,11
精彩,没有,11
不够,没有,11
看到,剧情,11
后期,人物,11
口音,非常,11
扫黑,真是,11
很多,演技,11
没有,张译,11
没有,这部,11
觉得,角色,11
角色,演员,11
扫黑,角色,11
剧情,角色,11
人物,真的,11
李响,角色,11
知道,角色,11
女性,角色,11
扫黑,套路,11
这部,整顿,11
政法,这部,11
对付,坏人,11
张译,真的,10
张译,演员,10
张译,演戏,10
张颂文,演员,10
警察,张译,10
精彩,人物,10
剧情,安欣,10
狂飙,安欣,10
看到,安欣,10
问题,演技,10
扫黑,风暴,10
演技,演技,10
高启强,知道,10
张译,有点,10
张译,故事,10
张颂文,台词,10
扫黑,狂飙,10
警察,高启强,10
这部,角色,10
大量,人物,10
比较,没有,10
高启强,李响,10
剧情,扫黑,10
剧情,很多,10
安欣,很多,10
演技,大佬,10
安欣,一点,10
很多,剧情,10
剧情,故事,10
感觉,感觉,10
张颂文,现实,10
真的,安欣,10
演员,表演,10
不错,台词,10
剧情,真是,10
角色,正面,10
扫黑,人物,10
剧里,剧情,10
说话,角色,10
看到,角色,10
好看,安欣,10
导演,观众,10
角色,女性,10
高启强,工具,10
水平,水平,10
配音,对不上,10
编剧,女性,10
有人,后退,10
这部,政法,10
政法,政法,10
政法,讨论,10
坏人,一层,10
反转,主角,10
真的,演员,9
这剧,张颂文,9
扫黑,部分,9
张颂文,大佬,9
狂飙,张颂文,9
李响,安欣,9
演技,安欣,9
演技,真的,9
张颂文,高启,9
高启强,情节,9
张颂文,扫黑,9
社会,社会,9
真的,没有,9
厉害,太爽了,9
没有,精彩,9
结局,没有,9
看到,现实,9
现实,没有,9
没有,扫黑,9
扫黑,意义,9
扫黑,情节,9
安欣,现实,9
剧本,张颂文,9
警察,扫黑,9
没有,故事,9
张译,剧情,9
目前,不错,9
成为,演员,9
对不上,没有,9
目前,没有,9
真的,后面,9
高启强,很多,9
台词,对不上,9
台词,台词,9
角色,高启,9
感觉,张译,9
塑造,安欣,9
高启强,塑造,9
观众,人物,9
最后,演员,9
台词,角色,9
很多,高启强,9
结局,高启强,9
后面,扫黑,9
编剧,剧情,9
现实,高启强,9
故事,剧情,9
故事,人物,9
问题,最后,9
这部,故事,9
好看,角色,9
喜欢,没有,9
没有,饱满,9
时间,人物,9
人物,一点,9
剧情,后面,9
遗憾,人物,9
感觉,不用,9
角色,现实,9
安欣,工具,9
几集,真的,9
目前,现实,9
不错,没有,9
没有,现实,9
很多,张译,9
很多,地方,9
张颂文,感觉,9
演员,张译,9
高启强,演员,9
这部,这部,9
狂飙,角色,9
反派,不能,9
真的,口音,9
高启强,不能,9
剧情,口音,9
时代,其实,9
时代,安欣,9
人物,老白,9
老白,角色,9
三分之一,部分,9
不够,编剧,9
演员,水平,9
教育,整顿,9
不够,观众,9
不公,英雄,9
情节,观众,9
整顿,个人,9
坏人,对付,9
号位,动手,9
张译,真是,8
真的,演技,8
真的,真是,8
立冬,高启强,8
这剧,高启强,8
这剧,张译,8
高启强,反派,8
高启强,大佬,8
扫黑,警察,8
